FinanceKey,DateKey,OrganizationKey,DepartmentGroupKey,ScenarioKey,AccountKey,Amount,Date
174,20101229,3,7,2,83,30,Dec 29 2010 12:00AM
175,20101229,3,7,1,83,30,Dec 29 2010 12:00AM
176,20101229,3,7,1,84,25,Dec 29 2010 12:00AM
177,20101229,3,7,2,84,30,Dec 29 2010 12:00AM
178,20101229,3,7,2,85,20,Dec 29 2010 12:00AM
179,20101229,3,7,1,85,24,Dec 29 2010 12:00AM
180,20101229,3,7,1,87,135,Dec 29 2010 12:00AM
181,20101229,3,7,2,87,100,Dec 29 2010 12:00AM
182,20101229,3,7,1,89,48,Dec 29 2010 12:00AM
183,20101229,3,7,1,90,73,Dec 29 2010 12:00AM
184,20101229,3,7,1,91,-58,Dec 29 2010 12:00AM
185,20101229,3,7,1,92,98,Dec 29 2010 12:00AM
186,20101229,3,7,1,94,52,Dec 29 2010 12:00AM
187,20101229,3,7,1,96,3,Dec 29 2010 12:00AM
188,20101229,3,7,1,100,23076,Dec 29 2010 12:00AM
189,20101229,4,1,1,60,43120,Dec 29 2010 12:00AM
190,20101229,4,1,2,60,40900,Dec 29 2010 12:00AM
191,20101229,4,1,2,61,4000,Dec 29 2010 12:00AM
192,20101229,4,1,1,61,5174,Dec 29 2010 12:00AM
193,20101229,4,1,1,62,3449,Dec 29 2010 12:00AM
194,20101229,4,1,2,62,3600,Dec 29 2010 12:00AM
195,20101229,4,1,2,65,850,Dec 29 2010 12:00AM
196,20101229,4,1,1,65,770,Dec 29 2010 12:00AM
197,20101229,4,1,1,66,700,Dec 29 2010 12:00AM
198,20101229,4,1,2,66,750,Dec 29 2010 12:00AM
199,20101229,4,1,2,67,380,Dec 29 2010 12:00AM
200,20101229,4,1,1,67,352,Dec 29 2010 12:00AM
201,20101229,4,1,1,68,264,Dec 29 2010 12:00AM
202,20101229,4,1,2,68,280,Dec 29 2010 12:00AM
203,20101229,4,1,1,69,77,Dec 29 2010 12:00AM
204,20101229,4,1,1,71,99,Dec 29 2010 12:00AM
205,20101229,4,1,2,71,110,Dec 29 2010 12:00AM
206,20101229,4,1,2,73,500,Dec 29 2010 12:00AM
207,20101229,4,1,1,73,486,Dec 29 2010 12:00AM
208,20101229,4,1,1,74,240,Dec 29 2010 12:00AM
209,20101229,4,1,2,74,280,Dec 29 2010 12:00AM
210,20101229,4,1,2,76,550,Dec 29 2010 12:00AM
211,20101229,4,1,1,76,561,Dec 29 2010 12:00AM
212,20101229,4,1,1,77,1009,Dec 29 2010 12:00AM
213,20101229,4,1,2,77,950,Dec 29 2010 12:00AM
214,20101229,4,1,2,78,280,Dec 29 2010 12:00AM
215,20101229,4,1,1,78,277,Dec 29 2010 12:00AM
216,20101229,4,1,1,80,1051,Dec 29 2010 12:00AM
217,20101229,4,1,2,80,1000,Dec 29 2010 12:00AM
218,20101229,4,1,2,81,650,Dec 29 2010 12:00AM
219,20101229,4,1,1,81,650,Dec 29 2010 12:00AM
220,20101229,4,1,1,82,62,Dec 29 2010 12:00AM
221,20101229,4,1,2,82,70,Dec 29 2010 12:00AM
222,20101229,4,1,2,83,200,Dec 29 2010 12:00AM
223,20101229,4,1,1,83,217,Dec 29 2010 12:00AM
224,20101229,4,1,1,84,180,Dec 29 2010 12:00AM
225,20101229,4,1,2,84,200,Dec 29 2010 12:00AM
226,20101229,4,1,2,85,200,Dec 29 2010 12:00AM
227,20101229,4,1,1,85,174,Dec 29 2010 12:00AM
228,20101229,4,1,1,87,990,Dec 29 2010 12:00AM
229,20101229,4,1,2,87,850,Dec 29 2010 12:00AM
230,20101229,4,1,1,89,176,Dec 29 2010 12:00AM
231,20101229,4,1,1,90,270,Dec 29 2010 12:00AM
232,20101229,4,1,1,91,-216,Dec 29 2010 12:00AM
233,20101229,4,1,1,92,360,Dec 29 2010 12:00AM
234,20101229,4,1,1,94,96,Dec 29 2010 12:00AM
235,20101229,4,1,1,96,11,Dec 29 2010 12:00AM
236,20101229,4,2,1,12,34545,Dec 29 2010 12:00AM
237,20101229,4,6,1,52,4505,Dec 29 2010 12:00AM
238,20101229,4,6,2,52,3900,Dec 29 2010 12:00AM
239,20101229,4,6,2,53,-1600,Dec 29 2010 12:00AM
240,20101229,4,6,1,53,-1126,Dec 29 2010 12:00AM
241,20101229,4,6,1,56,42417,Dec 29 2010 12:00AM
242,20101229,4,6,2,56,55000,Dec 29 2010 12:00AM
243,20101229,4,6,2,57,1500,Dec 29 2010 12:00AM
244,20101229,4,6,1,57,938,Dec 29 2010 12:00AM
245,20101229,4,6,1,60,26040,Dec 29 2010 12:00AM
246,20101229,4,6,2,60,22700,Dec 29 2010 12:00AM
247,20101229,4,6,2,61,2000,Dec 29 2010 12:00AM
248,20101229,4,6,1,61,2083,Dec 29 2010 12:00AM
249,20101229,4,6,1,62,1562,Dec 29 2010 12:00AM
250,20101229,4,6,2,62,1600,Dec 29 2010 12:00AM
251,20101229,4,6,2,63,6200,Dec 29 2010 12:00AM
252,20101229,4,6,1,63,3379,Dec 29 2010 12:00AM
253,20101229,4,6,1,65,378,Dec 29 2010 12:00AM
254,20101229,4,6,2,65,380,Dec 29 2010 12:00AM
255,20101229,4,6,2,66,380,Dec 29 2010 12:00AM
256,20101229,4,6,1,66,343,Dec 29 2010 12:00AM
257,20101229,4,6,1,67,182,Dec 29 2010 12:00AM
258,20101229,4,6,2,67,200,Dec 29 2010 12:00AM
259,20101229,4,6,2,68,100,Dec 29 2010 12:00AM
260,20101229,4,6,1,68,133,Dec 29 2010 12:00AM
261,20101229,4,6,1,69,38,Dec 29 2010 12:00AM
262,20101229,4,6,1,71,63,Dec 29 2010 12:00AM
263,20101229,4,6,2,71,70,Dec 29 2010 12:00AM
264,20101229,4,6,2,72,380,Dec 29 2010 12:00AM
265,20101229,4,6,1,72,225,Dec 29 2010 12:00AM
266,20101229,4,6,1,73,263,Dec 29 2010 12:00AM
267,20101229,4,6,2,73,300,Dec 29 2010 12:00AM
268,20101229,4,6,2,74,200,Dec 29 2010 12:00AM
269,20101229,4,6,1,74,187,Dec 29 2010 12:00AM
270,20101229,4,6,1,76,1201,Dec 29 2010 12:00AM
271,20101229,4,6,2,76,1500,Dec 29 2010 12:00AM
272,20101229,4,6,2,77,550,Dec 29 2010 12:00AM
273,20101229,4,6,1,77,604,Dec 29 2010 12:00AM
274,20101229,4,6,1,78,193,Dec 29 2010 12:00AM
275,20101229,4,6,2,78,200,Dec 29 2010 12:00AM
276,20101229,4,6,2,80,650,Dec 29 2010 12:00AM
277,20101229,4,6,1,80,749,Dec 29 2010 12:00AM
278,20101229,4,6,1,81,464,Dec 29 2010 12:00AM
279,20101229,4,6,2,81,380,Dec 29 2010 12:00AM
280,20101229,4,6,2,82,50,Dec 29 2010 12:00AM
281,20101229,4,6,1,82,47,Dec 29 2010 12:00AM
282,20101229,4,6,1,83,165,Dec 29 2010 12:00AM
283,20101229,4,6,2,83,100,Dec 29 2010 12:00AM
284,20101229,4,6,2,84,100,Dec 29 2010 12:00AM
285,20101229,4,6,1,84,145,Dec 29 2010 12:00AM
286,20101229,4,6,1,85,132,Dec 29 2010 12:00AM
287,20101229,4,6,2,85,100,Dec 29 2010 12:00AM
288,20101229,4,6,2,87,550,Dec 29 2010 12:00AM
289,20101229,4,6,1,87,630,Dec 29 2010 12:00AM
290,20101229,4,6,1,89,142,Dec 29 2010 12:00AM
291,20101229,4,6,1,90,218,Dec 29 2010 12:00AM
292,20101229,4,6,1,91,-174,Dec 29 2010 12:00AM
293,20101229,4,6,1,92,291,Dec 29 2010 12:00AM
294,20101229,4,6,1,94,3303,Dec 29 2010 12:00AM
295,20101229,4,6,1,96,7,Dec 29 2010 12:00AM
296,20101229,4,6,1,97,95,Dec 29 2010 12:00AM
297,20101229,4,6,1,99,63000,Dec 29 2010 12:00AM
298,20101229,4,6,2,101,123900,Dec 29 2010 12:00AM
299,20101229,4,6,1,101,112648,Dec 29 2010 12:00AM
300,20101229,4,7,1,4,138120,Dec 29 2010 12:00AM
301,20101229,4,7,1,6,172658,Dec 29 2010 12:00AM
302,20101229,4,7,1,7,5181,Dec 29 2010 12:00AM
303,20101229,4,7,1,8,3453,Dec 29 2010 12:00AM
304,20101229,4,7,1,13,23826,Dec 29 2010 12:00AM
305,20101229,4,7,1,14,16229,Dec 29 2010 12:00AM
306,20101229,4,7,1,15,31769,Dec 29 2010 12:00AM
307,20101229,4,7,1,18,10976,Dec 29 2010 12:00AM
308,20101229,4,7,1,19,34976,Dec 29 2010 12:00AM
309,20101229,4,7,1,20,10646,Dec 29 2010 12:00AM
310,20101229,4,7,1,21,48713,Dec 29 2010 12:00AM
311,20101229,4,7,1,22,9416,Dec 29 2010 12:00AM
312,20101229,4,7,1,23,3849,Dec 29 2010 12:00AM
313,20101229,4,7,1,24,20310,Dec 29 2010 12:00AM
314,20101229,4,7,1,28,16196,Dec 29 2010 12:00AM
315,20101229,4,7,1,29,149442,Dec 29 2010 12:00AM
316,20101229,4,7,1,31,46294,Dec 29 2010 12:00AM
317,20101229,4,7,1,32,25924,Dec 29 2010 12:00AM
318,20101229,4,7,1,33,21738,Dec 29 2010 12:00AM
319,20101229,4,7,1,34,12448,Dec 29 2010 12:00AM
320,20101229,4,7,1,35,32590,Dec 29 2010 12:00AM
321,20101229,4,7,1,37,25665,Dec 29 2010 12:00AM
322,20101229,4,7,1,38,26166,Dec 29 2010 12:00AM
323,20101229,4,7,1,39,45395,Dec 29 2010 12:00AM
324,20101229,4,7,1,40,23636,Dec 29 2010 12:00AM
325,20101229,4,7,1,42,350000,Dec 29 2010 12:00AM
326,20101229,4,7,1,43,-491124,Dec 29 2010 12:00AM
327,20101229,4,7,1,45,291070,Dec 29 2010 12:00AM
328,20101229,4,7,1,46,-27492,Dec 29 2010 12:00AM
329,20101229,4,7,1,100,16719,Dec 29 2010 12:00AM
330,20101229,5,1,1,60,33920,Dec 29 2010 12:00AM
331,20101229,5,1,2,60,31600,Dec 29 2010 12:00AM
332,20101229,5,1,2,61,2700,Dec 29 2010 12:00AM
333,20101229,5,1,1,61,3731,Dec 29 2010 12:00AM
334,20101229,5,1,1,62,2035,Dec 29 2010 12:00AM
335,20101229,5,1,2,62,1900,Dec 29 2010 12:00AM
336,20101229,5,1,2,65,480,Dec 29 2010 12:00AM
337,20101229,5,1,1,65,440,Dec 29 2010 12:00AM
338,20101229,5,1,1,66,400,Dec 29 2010 12:00AM
339,20101229,5,1,2,66,380,Dec 29 2010 12:00AM
340,20101229,5,1,2,67,200,Dec 29 2010 12:00AM
341,20101229,5,1,1,67,208,Dec 29 2010 12:00AM
342,20101229,5,1,1,68,152,Dec 29 2010 12:00AM
343,20101229,5,1,2,68,200,Dec 29 2010 12:00AM
344,20101229,5,1,1,69,44,Dec 29 2010 12:00AM
345,20101229,5,1,1,71,64,Dec 29 2010 12:00AM
346,20101229,5,1,2,71,90,Dec 29 2010 12:00AM
347,20101229,5,1,2,73,300,Dec 29 2010 12:00AM
348,20101229,5,1,1,73,301,Dec 29 2010 12:00AM
349,20101229,5,1,1,74,192,Dec 29 2010 12:00AM
350,20101229,5,1,2,74,200,Dec 29 2010 12:00AM
351,20101229,5,1,2,76,380,Dec 29 2010 12:00AM
352,20101229,5,1,1,76,384,Dec 29 2010 12:00AM
353,20101229,5,1,1,77,691,Dec 29 2010 12:00AM
354,20101229,5,1,2,77,650,Dec 29 2010 12:00AM
355,20101229,5,1,2,78,200,Dec 29 2010 12:00AM
356,20101229,5,1,1,78,210,Dec 29 2010 12:00AM
357,20101229,5,1,1,80,806,Dec 29 2010 12:00AM
358,20101229,5,1,2,80,850,Dec 29 2010 12:00AM
359,20101229,5,1,2,81,550,Dec 29 2010 12:00AM
360,20101229,5,1,1,81,499,Dec 29 2010 12:00AM
361,20101229,5,1,1,82,49,Dec 29 2010 12:00AM
362,20101229,5,1,2,82,60,Dec 29 2010 12:00AM
363,20101229,5,1,2,83,200,Dec 29 2010 12:00AM
364,20101229,5,1,1,83,172,Dec 29 2010 12:00AM
365,20101229,5,1,1,84,147,Dec 29 2010 12:00AM
366,20101229,5,1,2,84,200,Dec 29 2010 12:00AM
367,20101229,5,1,2,85,200,Dec 29 2010 12:00AM
368,20101229,5,1,1,85,138,Dec 29 2010 12:00AM
369,20101229,5,1,1,87,720,Dec 29 2010 12:00AM
370,20101229,5,1,2,87,750,Dec 29 2010 12:00AM
371,20101229,5,1,1,89,144,Dec 29 2010 12:00AM
372,20101229,5,1,1,90,220,Dec 29 2010 12:00AM
373,20101229,5,1,1,91,-176,Dec 29 2010 12:00AM
374,20101229,5,1,1,92,294,Dec 29 2010 12:00AM
375,20101229,5,1,1,94,219,Dec 29 2010 12:00AM
376,20101229,5,1,1,96,8,Dec 29 2010 12:00AM
377,20101229,5,2,1,12,17392,Dec 29 2010 12:00AM
378,20101229,5,6,1,52,1683,Dec 29 2010 12:00AM
379,20101229,5,6,2,52,2200,Dec 29 2010 12:00AM
380,20101229,5,6,2,53,-250,Dec 29 2010 12:00AM
381,20101229,5,6,1,53,-561,Dec 29 2010 12:00AM
382,20101229,5,6,1,56,21575,Dec 29 2010 12:00AM
383,20101229,5,6,2,56,22700,Dec 29 2010 12:00AM
384,20101229,5,6,2,57,500,Dec 29 2010 12:00AM
385,20101229,5,6,1,57,467,Dec 29 2010 12:00AM
386,20101229,5,6,1,60,25480,Dec 29 2010 12:00AM
387,20101229,5,6,2,60,26400,Dec 29 2010 12:00AM
388,20101229,5,6,2,61,2600,Dec 29 2010 12:00AM
389,20101229,5,6,1,61,2038,Dec 29 2010 12:00AM
390,20101229,5,6,1,62,2293,Dec 29 2010 12:00AM
391,20101229,5,6,2,62,1800,Dec 29 2010 12:00AM
392,20101229,5,6,2,63,8700,Dec 29 2010 12:00AM
393,20101229,5,6,1,63,2244,Dec 29 2010 12:00AM
394,20101229,5,6,1,65,553,Dec 29 2010 12:00AM
395,20101229,5,6,2,65,380,Dec 29 2010 12:00AM
396,20101229,5,6,2,66,380,Dec 29 2010 12:00AM
397,20101229,5,6,1,66,503,Dec 29 2010 12:00AM
398,20101229,5,6,1,67,252,Dec 29 2010 12:00AM
399,20101229,5,6,2,67,200,Dec 29 2010 12:00AM
400,20101229,5,6,2,68,200,Dec 29 2010 12:00AM
401,20101229,5,6,1,68,189,Dec 29 2010 12:00AM
402,20101229,5,6,1,69,55,Dec 29 2010 12:00AM
403,20101229,5,6,1,71,49,Dec 29 2010 12:00AM
404,20101229,5,6,2,71,70,Dec 29 2010 12:00AM
405,20101229,5,6,2,72,280,Dec 29 2010 12:00AM
406,20101229,5,6,1,72,168,Dec 29 2010 12:00AM
407,20101229,5,6,1,73,336,Dec 29 2010 12:00AM
408,20101229,5,6,2,73,300,Dec 29 2010 12:00AM
409,20101229,5,6,2,74,200,Dec 29 2010 12:00AM
410,20101229,5,6,1,74,248,Dec 29 2010 12:00AM
411,20101229,5,6,1,76,846,Dec 29 2010 12:00AM
412,20101229,5,6,2,76,1700,Dec 29 2010 12:00AM
413,20101229,5,6,2,77,550,Dec 29 2010 12:00AM
414,20101229,5,6,1,77,667,Dec 29 2010 12:00AM
415,20101229,5,6,1,78,178,Dec 29 2010 12:00AM
416,20101229,5,6,2,78,200,Dec 29 2010 12:00AM
417,20101229,5,6,2,80,650,Dec 29 2010 12:00AM
418,20101229,5,6,1,80,668,Dec 29 2010 12:00AM
419,20101229,5,6,1,81,414,Dec 29 2010 12:00AM
420,20101229,5,6,2,81,480,Dec 29 2010 12:00AM
421,20101229,5,6,2,82,40,Dec 29 2010 12:00AM
422,20101229,5,6,1,82,40,Dec 29 2010 12:00AM
423,20101229,5,6,1,83,140,Dec 29 2010 12:00AM
424,20101229,5,6,2,83,200,Dec 29 2010 12:00AM
425,20101229,5,6,2,84,100,Dec 29 2010 12:00AM
426,20101229,5,6,1,84,116,Dec 29 2010 12:00AM
427,20101229,5,6,1,85,112,Dec 29 2010 12:00AM
428,20101229,5,6,2,85,100,Dec 29 2010 12:00AM
429,20101229,5,6,2,87,550,Dec 29 2010 12:00AM
430,20101229,5,6,1,87,630,Dec 29 2010 12:00AM
431,20101229,5,6,1,89,113,Dec 29 2010 12:00AM
432,20101229,5,6,1,90,174,Dec 29 2010 12:00AM
433,20101229,5,6,1,91,-139,Dec 29 2010 12:00AM
434,20101229,5,6,1,92,232,Dec 29 2010 12:00AM
435,20101229,5,6,1,94,4254,Dec 29 2010 12:00AM
436,20101229,5,6,1,96,7,Dec 29 2010 12:00AM
437,20101229,5,6,1,97,95,Dec 29 2010 12:00AM
438,20101229,5,6,1,99,38500,Dec 29 2010 12:00AM
439,20101229,5,6,2,101,53300,Dec 29 2010 12:00AM
440,20101229,5,6,1,101,56105,Dec 29 2010 12:00AM
441,20101229,5,7,1,4,64261,Dec 29 2010 12:00AM
442,20101229,5,7,1,6,95647,Dec 29 2010 12:00AM
443,20101229,5,7,1,7,2552,Dec 29 2010 12:00AM
