CurrencyKey,DateKey,AverageRate,EndOfDayRate,Date
3,20110222,1.0004,1.0012,Feb 22 2011 12:00AM
3,20110223,1.0004,1,Feb 23 2011 12:00AM
3,20110224,1.0001,1.0001,Feb 24 2011 12:00AM
3,20110225,1.0001,0.9997,Feb 25 2011 12:00AM
3,20110226,1.0001,1.001,Feb 26 2011 12:00AM
3,20110227,1.0002,0.9997,Feb 27 2011 12:00AM
3,20110228,1.0008,1.0011,Feb 28 2011 12:00AM
3,20110301,1.0008,1.0004,Mar  1 2011 12:00AM
3,20110302,1.0008,1.001,Mar  2 2011 12:00AM
3,20110303,1.0001,0.9996,Mar  3 2011 12:00AM
3,20110304,1.0001,1.001,Mar  4 2011 12:00AM
3,20110305,1.0002,0.9999,Mar  5 2011 12:00AM
3,20110306,1.0002,1.0004,Mar  6 2011 12:00AM
3,20110307,1.0005,0.9999,Mar  7 2011 12:00AM
3,20110308,1.0005,1.001,Mar  8 2011 12:00AM
3,20110309,1.0005,1,Mar  9 2011 12:00AM
3,20110310,1.0001,1.0004,Mar 10 2011 12:00AM
3,20110311,1.0002,0.9999,Mar 11 2011 12:00AM
3,20110312,1.0002,1.0011,Mar 12 2011 12:00AM
3,20110313,1.0002,0.9999,Mar 13 2011 12:00AM
3,20110314,1,1.0009,Mar 14 2011 12:00AM
3,20110315,1,0.9998,Mar 15 2011 12:00AM
3,20110316,1,1.0003,Mar 16 2011 12:00AM
3,20110317,1.0002,0.9996,Mar 17 2011 12:00AM
3,20110318,1.0002,1.0008,Mar 18 2011 12:00AM
3,20110319,1.0002,1.0001,Mar 19 2011 12:00AM
3,20110320,1.0002,1.0011,Mar 20 2011 12:00AM
3,20110321,1.0007,1.0002,Mar 21 2011 12:00AM
3,20110322,1.0007,1.0008,Mar 22 2011 12:00AM
3,20110323,1.0007,0.9996,Mar 23 2011 12:00AM
3,20110324,1.0002,1.0011,Mar 24 2011 12:00AM
3,20110325,1.0002,1.0002,Mar 25 2011 12:00AM
3,20110326,1.0002,1.0008,Mar 26 2011 12:00AM
3,20110327,1.0002,0.9995,Mar 27 2011 12:00AM
3,20110328,1.00624,1.00644,Mar 28 2011 12:00AM
3,20110329,1.00624,1.00604,Mar 29 2011 12:00AM
3,20110330,1.00624,1.00634,Mar 30 2011 12:00AM
3,20110331,1.0002,0.9996,Mar 31 2011 12:00AM
3,20110401,1.0002,1.0008,Apr  1 2011 12:00AM
3,20110402,1.0002,0.9996,Apr  2 2011 12:00AM
3,20110403,1.0002,1.0012,Apr  3 2011 12:00AM
3,20110404,1.0008,0.9997,Apr  4 2011 12:00AM
3,20110405,1.0008,1.0011,Apr  5 2011 12:00AM
3,20110406,1.0008,0.9999,Apr  6 2011 12:00AM
3,20110407,1.0002,1.0002,Apr  7 2011 12:00AM
3,20110408,1.0001,0.9998,Apr  8 2011 12:00AM
3,20110409,1.0002,1.0011,Apr  9 2011 12:00AM
3,20110410,1.0002,0.9998,Apr 10 2011 12:00AM
3,20110411,1.0005,1.0013,Apr 11 2011 12:00AM
3,20110412,1.0005,0.9996,Apr 12 2011 12:00AM
3,20110413,1.0005,1.0011,Apr 13 2011 12:00AM
3,20110414,1.0001,0.9994,Apr 14 2011 12:00AM
3,20110415,1.0001,1.0004,Apr 15 2011 12:00AM
3,20110416,1.0002,0.9996,Apr 16 2011 12:00AM
3,20110417,1.0002,1.0011,Apr 17 2011 12:00AM
3,20110418,1.0005,1.0003,Apr 18 2011 12:00AM
3,20110419,1.0005,1.0009,Apr 19 2011 12:00AM
3,20110420,1.0005,1,Apr 20 2011 12:00AM
3,20110421,1.0001,1.0004,Apr 21 2011 12:00AM
3,20110422,1.0001,0.9998,Apr 22 2011 12:00AM
3,20110423,1.0001,1.0001,Apr 23 2011 12:00AM
3,20110424,1.0001,0.9996,Apr 24 2011 12:00AM
3,20110425,1.0005,1.0013,Apr 25 2011 12:00AM
3,20110426,1.0005,0.9997,Apr 26 2011 12:00AM
3,20110427,1.0005,1.0014,Apr 27 2011 12:00AM
3,20110428,1.0002,0.9995,Apr 28 2011 12:00AM
3,20110429,1.0002,1.0011,Apr 29 2011 12:00AM
3,20110430,1.0002,0.9996,Apr 30 2011 12:00AM
3,20110501,1.0002,1.0003,May  1 2011 12:00AM
3,20110502,1.0005,0.9997,May  2 2011 12:00AM
3,20110503,1.0005,1.0011,May  3 2011 12:00AM
3,20110504,1.0005,1.0001,May  4 2011 12:00AM
3,20110505,1.0002,1.0011,May  5 2011 12:00AM
3,20110506,1.0002,0.9999,May  6 2011 12:00AM
3,20110507,1.0001,1.0003,May  7 2011 12:00AM
3,20110508,1.0002,0.9999,May  8 2011 12:00AM
3,20110509,1.0005,1.0012,May  9 2011 12:00AM
3,20110510,1.0005,0.9998,May 10 2011 12:00AM
3,20110511,1.0005,1.0007,May 11 2011 12:00AM
3,20110512,1.0001,1.0001,May 12 2011 12:00AM
3,20110513,1.0001,1.0009,May 13 2011 12:00AM
3,20110514,1.0001,0.9996,May 14 2011 12:00AM
3,20110515,1.0001,1.0003,May 15 2011 12:00AM
3,20110516,1.0005,0.9996,May 16 2011 12:00AM
3,20110517,1.0005,1.0009,May 17 2011 12:00AM
3,20110518,1.0005,0.9996,May 18 2011 12:00AM
3,20110519,1.0002,1.0007,May 19 2011 12:00AM
3,20110520,1.0002,1.0001,May 20 2011 12:00AM
3,20110521,1.0002,1.0002,May 21 2011 12:00AM
3,20110522,1.0002,0.9996,May 22 2011 12:00AM
3,20110523,1.0005,1.0007,May 23 2011 12:00AM
3,20110524,1.0005,0.9996,May 24 2011 12:00AM
3,20110525,1.0005,1.0005,May 25 2011 12:00AM
3,20110526,1.0002,0.9995,May 26 2011 12:00AM
3,20110527,1.0002,1.0007,May 27 2011 12:00AM
3,20110528,1.0002,0.9998,May 28 2011 12:00AM
3,20110529,1.0002,1.0005,May 29 2011 12:00AM
3,20110530,1.0005,1.0004,May 30 2011 12:00AM
3,20110531,1.0005,1.001,May 31 2011 12:00AM
3,20110601,1.0005,1.0004,Jun  1 2011 12:00AM
3,20110602,1.0001,1.0005,Jun  2 2011 12:00AM
3,20110603,1.0001,0.9999,Jun  3 2011 12:00AM
3,20110604,1.001,1.001,Jun  4 2011 12:00AM
3,20110605,1.001,1.0005,Jun  5 2011 12:00AM
3,20110606,1.001,1.0015,Jun  6 2011 12:00AM
3,20110607,1.0004,0.9997,Jun  7 2011 12:00AM
3,20110608,1.0003,1.0008,Jun  8 2011 12:00AM
3,20110609,1.0002,0.9994,Jun  9 2011 12:00AM
3,20110610,1.0002,1.001,Jun 10 2011 12:00AM
3,20110611,1.0002,0.9999,Jun 11 2011 12:00AM
3,20110612,1.0002,1.001,Jun 12 2011 12:00AM
3,20110613,1.0008,1.0002,Jun 13 2011 12:00AM
3,20110614,1.0008,1.0011,Jun 14 2011 12:00AM
3,20110615,1.0008,0.9999,Jun 15 2011 12:00AM
3,20110616,1.0008,1.0013,Jun 16 2011 12:00AM
3,20110617,1.0002,0.9996,Jun 17 2011 12:00AM
3,20110618,1.0002,1.0002,Jun 18 2011 12:00AM
3,20110619,1.0002,0.9996,Jun 19 2011 12:00AM
3,20110620,1.0007,1.0014,Jun 20 2011 12:00AM
3,20110621,1.0007,0.9999,Jun 21 2011 12:00AM
3,20110622,1.0007,1.0017,Jun 22 2011 12:00AM
3,20110623,1.0002,0.9996,Jun 23 2011 12:00AM
3,20110624,1.0002,1.0009,Jun 24 2011 12:00AM
3,20110625,1.0002,0.9996,Jun 25 2011 12:00AM
3,20110626,1.0002,1.0002,Jun 26 2011 12:00AM
3,20110627,1.0007,0.9998,Jun 27 2011 12:00AM
3,20110628,1.0007,1.0009,Jun 28 2011 12:00AM
3,20110629,1.0007,0.9998,Jun 29 2011 12:00AM
3,20110630,1.0002,1.0003,Jun 30 2011 12:00AM
3,20110701,1.0002,0.9997,Jul  1 2011 12:00AM
3,20110702,1.0002,1.001,Jul  2 2011 12:00AM
3,20110703,1.0002,0.9998,Jul  3 2011 12:00AM
3,20110704,1.0005,1.0014,Jul  4 2011 12:00AM
3,20110705,1.0005,1.0002,Jul  5 2011 12:00AM
3,20110706,1.0005,1.0015,Jul  6 2011 12:00AM
3,20110707,1.0002,0.9996,Jul  7 2011 12:00AM
3,20110708,1.0002,1.0009,Jul  8 2011 12:00AM
3,20110709,1.0002,0.9994,Jul  9 2011 12:00AM
3,20110710,1.0002,1.0011,Jul 10 2011 12:00AM
3,20110711,1.0008,0.9998,Jul 11 2011 12:00AM
3,20110712,1.0008,1.001,Jul 12 2011 12:00AM
3,20110713,1.0008,1.0007,Jul 13 2011 12:00AM
3,20110714,1.0001,1.0003,Jul 14 2011 12:00AM
3,20110715,1.0001,0.9993,Jul 15 2011 12:00AM
3,20110716,1.0001,1.0003,Jul 16 2011 12:00AM
3,20110717,1.0002,0.9997,Jul 17 2011 12:00AM
3,20110718,1.0005,1.0011,Jul 18 2011 12:00AM
3,20110719,1.0005,0.9998,Jul 19 2011 12:00AM
3,20110720,1.0005,1.0008,Jul 20 2011 12:00AM
3,20110721,1.0002,0.9994,Jul 21 2011 12:00AM
3,20110722,1.0002,1.0011,Jul 22 2011 12:00AM
3,20110723,1.0002,1.0002,Jul 23 2011 12:00AM
3,20110724,1.0002,1.0012,Jul 24 2011 12:00AM
3,20110725,1.0002,1,Jul 25 2011 12:00AM
3,20110726,1.0002,1.0002,Jul 26 2011 12:00AM
3,20110727,1.0002,0.9994,Jul 27 2011 12:00AM
3,20110728,1.0002,1.0009,Jul 28 2011 12:00AM
3,20110729,1.0002,0.9996,Jul 29 2011 12:00AM
3,20110730,1.0002,1.0007,Jul 30 2011 12:00AM
3,20110731,1.0002,0.9996,Jul 31 2011 12:00AM
3,20110801,1.0009,1.0013,Aug  1 2011 12:00AM
3,20110802,1.0009,1.0002,Aug  2 2011 12:00AM
3,20110803,1.0009,1.0011,Aug  3 2011 12:00AM
3,20110804,1.0009,1.0003,Aug  4 2011 12:00AM
3,20110805,1.0002,1.0005,Aug  5 2011 12:00AM
3,20110806,1.0002,0.9994,Aug  6 2011 12:00AM
3,20110807,1.0002,1.0003,Aug  7 2011 12:00AM
3,20110808,1.0005,1.0002,Aug  8 2011 12:00AM
3,20110809,1.0005,1.0012,Aug  9 2011 12:00AM
3,20110810,1.0005,0.9996,Aug 10 2011 12:00AM
3,20110811,1.0002,1.0007,Aug 11 2011 12:00AM
3,20110812,1.0002,0.9996,Aug 12 2011 12:00AM
3,20110813,1.0002,1.0007,Aug 13 2011 12:00AM
3,20110814,1.0002,0.9999,Aug 14 2011 12:00AM
3,20110815,1.0005,1.0008,Aug 15 2011 12:00AM
3,20110816,1.0005,0.9999,Aug 16 2011 12:00AM
3,20110817,1.0004,1.0009,Aug 17 2011 12:00AM
3,20110818,1.0004,0.9997,Aug 18 2011 12:00AM
3,20110819,1.0002,1.0002,Aug 19 2011 12:00AM
3,20110820,1.0002,0.9994,Aug 20 2011 12:00AM
3,20110821,1.0002,1.001,Aug 21 2011 12:00AM
3,20110822,1.0005,1.0004,Aug 22 2011 12:00AM
3,20110823,1.0005,1.0005,Aug 23 2011 12:00AM
3,20110824,1.0005,1.0002,Aug 24 2011 12:00AM
3,20110825,1.0002,1.001,Aug 25 2011 12:00AM
3,20110826,1.0002,0.9996,Aug 26 2011 12:00AM
3,20110827,1.0002,1.0011,Aug 27 2011 12:00AM
3,20110828,1.0002,1.0001,Aug 28 2011 12:00AM
3,20110829,1.0007,1.0013,Aug 29 2011 12:00AM
3,20110830,1.0007,1.0004,Aug 30 2011 12:00AM
3,20110831,1.0007,1.0012,Aug 31 2011 12:00AM
3,20110901,1.0002,1,Sep  1 2011 12:00AM
3,20110902,1.0002,1.0012,Sep  2 2011 12:00AM
3,20110903,1.0002,1,Sep  3 2011 12:00AM
3,20110904,1.0002,1.0007,Sep  4 2011 12:00AM
3,20110905,1.0007,0.9998,Sep  5 2011 12:00AM
3,20110906,1.0007,1.0015,Sep  6 2011 12:00AM
3,20110907,1.0007,0.9999,Sep  7 2011 12:00AM
3,20110908,1.0002,1.0011,Sep  8 2011 12:00AM
3,20110909,1.0002,0.9997,Sep  9 2011 12:00AM
3,20110910,1.0002,1.0003,Sep 10 2011 12:00AM
3,20110911,1.0002,0.9995,Sep 11 2011 12:00AM
3,20110912,1.0005,1.0009,Sep 12 2011 12:00AM
3,20110913,1.0005,1,Sep 13 2011 12:00AM
3,20110914,1.0005,1.001,Sep 14 2011 12:00AM
3,20110915,1.0002,0.9996,Sep 15 2011 12:00AM
3,20110916,1.0002,1.001,Sep 16 2011 12:00AM
3,20110917,1.0002,0.9995,Sep 17 2011 12:00AM
3,20110918,1.0002,1.0008,Sep 18 2011 12:00AM
3,20110919,1.0005,0.9997,Sep 19 2011 12:00AM
3,20110920,1.0005,1.0005,Sep 20 2011 12:00AM
3,20110921,1.0005,0.9999,Sep 21 2011 12:00AM
3,20110922,1.0002,1.001,Sep 22 2011 12:00AM
3,20110923,1.0001,0.9998,Sep 23 2011 12:00AM
3,20110924,1.0002,1.0011,Sep 24 2011 12:00AM
3,20110925,1.0002,0.9999,Sep 25 2011 12:00AM
3,20110926,1.0005,1.001,Sep 26 2011 12:00AM
3,20110927,1.0005,0.9997,Sep 27 2011 12:00AM
3,20110928,1.0005,1.0011,Sep 28 2011 12:00AM
3,20110929,1.0002,0.9996,Sep 29 2011 12:00AM
3,20110930,1.0002,1.0003,Sep 30 2011 12:00AM
3,20111001,1.0002,0.9994,Oct  1 2011 12:00AM
3,20111002,1.0002,1.0002,Oct  2 2011 12:00AM
3,20111003,1.0008,1,Oct  3 2011 12:00AM
3,20111004,1.0008,1.0009,Oct  4 2011 12:00AM
3,20111005,1.0008,1,Oct  5 2011 12:00AM
3,20111006,1.0008,1.0013,Oct  6 2011 12:00AM
3,20111007,1.0002,1.0002,Oct  7 2011 12:00AM
3,20111008,1.0002,1.0008,Oct  8 2011 12:00AM
3,20111009,1.0002,0.9999,Oct  9 2011 12:00AM
3,20111010,1.0007,1.001,Oct 10 2011 12:00AM
3,20111011,1.0007,1.0003,Oct 11 2011 12:00AM
3,20111012,1.0007,1.0009,Oct 12 2011 12:00AM
3,20111013,1.0002,1,Oct 13 2011 12:00AM
3,20111014,1.0002,1.0007,Oct 14 2011 12:00AM
3,20111015,1.0002,0.9999,Oct 15 2011 12:00AM
3,20111016,1.0002,1.0005,Oct 16 2011 12:00AM
3,20111017,1.0009,1.0009,Oct 17 2011 12:00AM
3,20111018,1.0009,1.0012,Oct 18 2011 12:00AM
3,20111019,1.0009,1.0007,Oct 19 2011 12:00AM
3,20111020,1.0002,1.0002,Oct 20 2011 12:00AM
3,20111021,1.0002,0.9996,Oct 21 2011 12:00AM
3,20111022,1.0002,1.0008,Oct 22 2011 12:00AM
3,20111023,1.0002,0.9998,Oct 23 2011 12:00AM
3,20111024,1.0007,1.0008,Oct 24 2011 12:00AM
3,20111025,1.0007,1.0004,Oct 25 2011 12:00AM
3,20111026,1.0007,1.0007,Oct 26 2011 12:00AM
3,20111027,1.0002,0.9996,Oct 27 2011 12:00AM
3,20111028,1.0002,1.0003,Oct 28 2011 12:00AM
3,20111029,1.0002,0.9993,Oct 29 2011 12:00AM
3,20111030,1.0002,1.001,Oct 30 2011 12:00AM
3,20111031,1.0007,1.0007,Oct 31 2011 12:00AM
3,20111101,1.0007,1.0008,Nov  1 2011 12:00AM
3,20111102,1.0007,1.0004,Nov  2 2011 12:00AM
3,20111103,1.0002,1.0008,Nov  3 2011 12:00AM
3,20111104,1.0002,0.9998,Nov  4 2011 12:00AM
3,20111105,1.0002,1.0003,Nov  5 2011 12:00AM
3,20111106,1.0002,0.9998,Nov  6 2011 12:00AM
3,20111107,1.0007,1.0008,Nov  7 2011 12:00AM
3,20111108,1.0007,1.0001,Nov  8 2011 12:00AM
3,20111109,1.0007,1.0014,Nov  9 2011 12:00AM
3,20111110,1.0002,1.0001,Nov 10 2011 12:00AM
3,20111111,1.0002,1.0005,Nov 11 2011 12:00AM
3,20111112,1.0002,1,Nov 12 2011 12:00AM
3,20111113,1,1.0007,Nov 13 2011 12:00AM
3,20111114,1,0.9999,Nov 14 2011 12:00AM
3,20111115,1,1.0001,Nov 15 2011 12:00AM
3,20111116,1,0.9996,Nov 16 2011 12:00AM
3,20111117,1.0002,1.0002,Nov 17 2011 12:00AM
3,20111118,1.0002,0.9995,Nov 18 2011 12:00AM
3,20111119,1.0002,1.0008,Nov 19 2011 12:00AM
3,20111120,1.0002,0.9996,Nov 20 2011 12:00AM
3,20111121,1.0009,1.0012,Nov 21 2011 12:00AM
3,20111122,1.0009,1.0005,Nov 22 2011 12:00AM
3,20111123,1.0009,1.0013,Nov 23 2011 12:00AM
3,20111124,1.0002,0.9999,Nov 24 2011 12:00AM
3,20111125,1.0002,1.001,Nov 25 2011 12:00AM
3,20111126,1.0002,0.9996,Nov 26 2011 12:00AM
3,20111127,1.0002,1.0012,Nov 27 2011 12:00AM
3,20111128,1.0009,0.9999,Nov 28 2011 12:00AM
3,20111129,1.0009,1.0017,Nov 29 2011 12:00AM
3,20111130,1.0009,1.0003,Nov 30 2011 12:00AM
3,20111201,1.0009,1.0015,Dec  1 2011 12:00AM
3,20111202,1.0002,0.9994,Dec  2 2011 12:00AM
3,20111203,1.0002,1.0003,Dec  3 2011 12:00AM
3,20111204,1.0002,0.9993,Dec  4 2011 12:00AM
3,20111205,1.0007,1.001,Dec  5 2011 12:00AM
3,20111206,1.0007,1.0004,Dec  6 2011 12:00AM
3,20111207,1.0007,1.0013,Dec  7 2011 12:00AM
3,20111208,1.0002,0.9999,Dec  8 2011 12:00AM
3,20111209,1.0002,1.001,Dec  9 2011 12:00AM
3,20111210,1.0002,0.9995,Dec 10 2011 12:00AM
3,20111211,1.0002,1.0003,Dec 11 2011 12:00AM
3,20111212,1.0007,1.0007,Dec 12 2011 12:00AM
3,20111213,1.0007,1.0014,Dec 13 2011 12:00AM
3,20111214,1.0007,1.0005,Dec 14 2011 12:00AM
3,20111215,1.0002,1.001,Dec 15 2011 12:00AM
3,20111216,1.0002,0.9993,Dec 16 2011 12:00AM
3,20111217,1.0002,1.0002,Dec 17 2011 12:00AM
3,20111218,1.0002,0.9995,Dec 18 2011 12:00AM
3,20111219,1.001,1.0017,Dec 19 2011 12:00AM
3,20111220,1.001,1.0005,Dec 20 2011 12:00AM
3,20111221,1.001,1.0013,Dec 21 2011 12:00AM
3,20111222,1.001,1.0001,Dec 22 2011 12:00AM
3,20111223,1.0003,1.0005,Dec 23 2011 12:00AM
3,20111224,1.0003,0.9999,Dec 24 2011 12:00AM
3,20111225,1.0004,1.0012,Dec 25 2011 12:00AM
3,20111226,1.0008,1,Dec 26 2011 12:00AM
3,20111227,1.0008,1.0015,Dec 27 2011 12:00AM
3,20111228,1.0008,1.0005,Dec 28 2011 12:00AM
3,20111229,1.0002,1.0005,Dec 29 2011 12:00AM
3,20111230,1.0002,1.0002,Dec 30 2011 12:00AM
3,20111231,1.0002,1.0009,Dec 31 2011 12:00AM
3,20120101,1.0002,1.0001,Jan  1 2012 12:00AM
3,20120102,1.0005,1.001,Jan  2 2012 12:00AM
3,20120103,1.0005,0.9998,Jan  3 2012 12:00AM
3,20120104,1.0005,1.0014,Jan  4 2012 12:00AM
3,20120105,1.0002,0.9998,Jan  5 2012 12:00AM
3,20120106,1.0002,1.0008,Jan  6 2012 12:00AM
3,20120107,1.0004,0.9996,Jan  7 2012 12:00AM
3,20120108,1.0009,1.0017,Jan  8 2012 12:00AM
3,20120109,1.0009,1.0005,Jan  9 2012 12:00AM
3,20120110,1.0009,1.0018,Jan 10 2012 12:00AM
3,20120111,1.0009,1.0007,Jan 11 2012 12:00AM
3,20120112,1.0002,1.0008,Jan 12 2012 12:00AM
3,20120113,1.0002,1,Jan 13 2012 12:00AM
3,20120114,1.0002,1.001,Jan 14 2012 12:00AM
3,20120115,1.0002,1,Jan 15 2012 12:00AM
3,20120116,1.0007,1.0008,Jan 16 2012 12:00AM
3,20120117,1.0007,0.9997,Jan 17 2012 12:00AM
3,20120118,1.0007,1.0012,Jan 18 2012 12:00AM
3,20120119,1.0002,0.9997,Jan 19 2012 12:00AM
3,20120120,1.0002,1.0004,Jan 20 2012 12:00AM
3,20120121,1.0003,1.0001,Jan 21 2012 12:00AM
3,20120122,1.0003,1.0013,Jan 22 2012 12:00AM
3,20120123,1.0003,1.0003,Jan 23 2012 12:00AM
3,20120124,1.0003,1.0012,Jan 24 2012 12:00AM
3,20120125,1.0003,0.9996,Jan 25 2012 12:00AM
3,20120126,1.0003,1.001,Jan 26 2012 12:00AM
3,20120127,1.0003,0.9995,Jan 27 2012 12:00AM
3,20120128,1.0003,1.0013,Jan 28 2012 12:00AM
3,20120129,1.0004,0.9996,Jan 29 2012 12:00AM
3,20120130,1.0011,1.002,Jan 30 2012 12:00AM
3,20120131,1.0011,1.0008,Jan 31 2012 12:00AM
3,20120201,1.0011,1.0013,Feb  1 2012 12:00AM
3,20120202,1.0004,1.0003,Feb  2 2012 12:00AM
3,20120203,1.0003,1.0013,Feb  3 2012 12:00AM
3,20120204,1.0003,1.0003,Feb  4 2012 12:00AM
3,20120205,1.0003,1.0009,Feb  5 2012 12:00AM
3,20120206,1.0011,1.001,Feb  6 2012 12:00AM
3,20120207,1.0011,1.0015,Feb  7 2012 12:00AM
3,20120208,1.0011,1.0004,Feb  8 2012 12:00AM
3,20120209,1.0011,1.0019,Feb  9 2012 12:00AM
3,20120210,1.0003,1.0002,Feb 10 2012 12:00AM
3,20120211,1.0003,1.0009,Feb 11 2012 12:00AM
3,20120212,1.0017,1.0015,Feb 12 2012 12:00AM
3,20120213,1.0017,1.00271,Feb 13 2012 12:00AM
3,20120214,1.0017,1.001,Feb 14 2012 12:00AM
3,20120215,1.0017,1.0018,Feb 15 2012 12:00AM
3,20120216,1.0017,1.0007,Feb 16 2012 12:00AM
3,20120217,1.0003,1.0009,Feb 17 2012 12:00AM
3,20120218,1.0003,1.0002,Feb 18 2012 12:00AM
3,20120219,1.0002,1.001,Feb 19 2012 12:00AM
3,20120220,1.0008,0.9999,Feb 20 2012 12:00AM
3,20120221,1.0008,1.001,Feb 21 2012 12:00AM
3,20120222,1.0008,1.0007,Feb 22 2012 12:00AM
3,20120223,1.0002,1.0005,Feb 23 2012 12:00AM
3,20120224,1.0002,0.9996,Feb 24 2012 12:00AM
3,20120225,1.0002,1.0007,Feb 25 2012 12:00AM
3,20120226,1.0002,1,Feb 26 2012 12:00AM
3,20120227,1.0009,1.0012,Feb 27 2012 12:00AM
3,20120228,1.0009,1.0005,Feb 28 2012 12:00AM
3,20120229,1.0009,1.0013,Feb 29 2012 12:00AM
3,20120301,1.0002,0.9993,Mar  1 2012 12:00AM
3,20120302,1.0002,1.0004,Mar  2 2012 12:00AM
3,20120303,1.0002,0.9999,Mar  3 2012 12:00AM
3,20120304,1.0002,1.0004,Mar  4 2012 12:00AM
3,20120305,1.0005,1.0002,Mar  5 2012 12:00AM
3,20120306,1.0005,1.0011,Mar  6 2012 12:00AM
3,20120307,1.0005,1.0001,Mar  7 2012 12:00AM
3,20120308,1.0002,1.0002,Mar  8 2012 12:00AM
3,20120309,1.0002,0.9996,Mar  9 2012 12:00AM
3,20120310,1.0002,1.001,Mar 10 2012 12:00AM
3,20120311,1.0002,0.9998,Mar 11 2012 12:00AM
3,20120312,1.0005,1.0009,Mar 12 2012 12:00AM
3,20120313,1.0005,1.0001,Mar 13 2012 12:00AM
3,20120314,1.0005,1.0012,Mar 14 2012 12:00AM
3,20120315,1.0002,0.9994,Mar 15 2012 12:00AM
3,20120316,1.0001,1.0004,Mar 16 2012 12:00AM
3,20120317,1.0001,0.9996,Mar 17 2012 12:00AM
3,20120318,1.0001,1.0002,Mar 18 2012 12:00AM
3,20120319,1.0005,0.9996,Mar 19 2012 12:00AM
3,20120320,1.0005,1.0013,Mar 20 2012 12:00AM
3,20120321,1.0005,1.0002,Mar 21 2012 12:00AM
3,20120322,1.0001,1.0009,Mar 22 2012 12:00AM
3,20120323,1.0001,0.9996,Mar 23 2012 12:00AM
3,20120324,1.0001,1.0008,Mar 24 2012 12:00AM
3,20120325,1.0001,0.9993,Mar 25 2012 12:00AM
3,20120326,1.0004,1.0008,Mar 26 2012 12:00AM
3,20120327,1.0004,0.9996,Mar 27 2012 12:00AM
3,20120328,1.0004,1.001,Mar 28 2012 12:00AM
3,20120329,1.0001,0.9996,Mar 29 2012 12:00AM
3,20120330,1.0001,1.001,Mar 30 2012 12:00AM
